Academic Year : 2025-26 Even Sem				,,,,,,,,,,,,,,,,,,,,
W.E.F. 27th January 2026		,,,,,,,,,,,,,,,,,,,,
Day ↓ Time →,Class Level,Section Name,08:45-9:40,9:40-10:35,10:35-10:50,10:50 - 11:45,11:45-12:40,12:40-1:40,1:40-2:35,2:35-3:30,03:30-03:40,3:40-4:30,Course Code,Course Name,Category,Abbreviation_course,Assigned Faculty,Faculty_Abbreviation,EMP_ID,Session Type
THURSDAY,SY,DA1,SP:KL:N-609/ DV:IR:N-605,CN:RK:N-609,Short Break,OS:PB:N-609,CN:RK:N-609,Long Break,SCIL:N-609,Library Slot,Short Break,Project Meeting,,,,,,,,
THURSDAY,SY,DA2,SP:KL:N-609/ DV:IR:N-605,CN:RK:N-609,Short Break,OS:PB:N-609,CN:RK:N-609,Long Break,SCIL:N-609,Library Slot,Short Break,Project Meeting,,,,,,,,
THURSDAY,SY,SMAD,OS:PB:S-601,SE:SH:S-601,Short Break,CNL:JN:S-609,CNL:JN:S-609,Long Break,SCIL:N-609,Library Slot,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,Core1,AS:RHB:N-605,APS:SCIL:N-605,Short Break,FAI:SS:N-605,Library Slot,Long Break,ASL:RHB:N-611,ASL:RHB:N-611,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,Core2,AS:RHB:N-605,APS:SCIL:N-605,Short Break,FAI:SS:N-605,Library Slot,Long Break,DEVOPSL:AJ:S-610,DEVOPSL:AJ:S-610,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,Core3,AS:RHB:N-605,APS:SCIL:N-605,Short Break,FAI:SS:N-605,Library Slot,Long Break,ATL:RAB:N-613,ATL:RAB:N-613,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,DA1,FAI:JN:N-607,APS:SCIL:N-607,Short Break,UED:PK:N-611/       NLPL:KL:S-610,NLPL:KL:S-610,Long Break,FAIL:KL:S-609,FAIL:KL:S-609,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,DA2,FAI:JN:N-607,APS:SCIL:N-607,Short Break,UED:PK:N-611/       NLPL:KL:S-610,NLPL:KL:S-610,Long Break,DEVOPSL:RB:S-611,DEVOPSL:RB:S-611,Short Break,Project Meeting,,,,,,,,
THURSDAY,TY,SMAD,UED:PK:S-601,APS:SCIL:N-607,Short Break,ATL:RAB:N-613,ATL:RAB:N-613,Long Break,FSBD:RK:S-601,Library Slot,Short Break,Project Meeting,,,,,,,,
THURSDAY,LY,Core1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
THURSDAY,LY,Core2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
THURSDAY,LY,DA1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
THURSDAY,LY,DA2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
THURSDAY,LY,SMAD,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
FRIDAY,SY,DA1,ENT:SC:N-609,ENT:SC:N-609,Short Break,SE:SH:N-609,OS:PB:N 609,Long Break,APS:SHD,APS:SHD,Short Break,Project Meeting,,,,,,,,
FRIDAY,SY,DA2,ENT:SC:N-609,ENT:SC:N-609,Short Break,SE:SH:N-609,OS:PB:N 609,Long Break,APS:SHD,APS:SHD,Short Break,Project Meeting,,,,,,,,
FRIDAY,SY,SMAD,ENT:SC:N-609,ENT:SC:N-609,Short Break,WP:PK:S-614,WP:PK:S-614,Long Break,APS:SHD,APS:SHD,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,Core1,FAIL:SS:S-610,FAIL:SS:S-610,Short Break,AT:RAB:N-609,FAI:SS:N-609,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,Core2,ATL:RAB:N-613,ATL:RAB:N-613,Short Break,AT:RAB:N-609,FAI:SS:N-609,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,Core3,ASL:RHB:N-611,ASL:RHB:N-611,Short Break,AT:RAB:N-609,FAI:SS:N-609,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,DA1,DEVOPSL:RB:S-611,DEVOPSL:RB:S-611,Short Break,FAI:JN:N-607,Library Slot,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,DA2,FAIL:KL:S-609,FAIL:KL:S-609,Short Break,FAI:JN:N-607,Library Slot,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
FRIDAY,TY,SMAD,UED:PK:S-601,Library Slot,Short Break,FSBDL:RK:S-611,,Long Break,ForL:SHD: N-607,ForL:SHD: N-607,Short Break,Project Meeting,,,,,,,,
