Day,Start Time,End Time,Subject Code,Faculty Name,Class Level,Section Name,Session Type,Batch,Room Number
MONDAY,12:00 PM,11.45,KOTLIN PROG,,TY,SMAD,Practical,,S-604
MONDAY,9:36 AM,2.35,FSDL,RB,TY,SMAD,Practical,,S 611
MONDAY,10:48 AM,9.4,week1&3: APL III BI,SH,LY,Core-I,Lecture,,S 614 Week 2 &4: APL III NLP(KL)N 613
MONDAY,12:00 PM,11.45,NLP,KL,LY,Core-I,Lecture,,N 605
MONDAY,10:48 AM,12.4,BI,SH,LY,Core-I,Lecture,,N 605
MONDAY,9:36 AM,2.35,ISL,DP,LY,Core-I,Practical,,N 611
MONDAY,10:48 AM,9.4,week1&3: APL III NLP,KL,LY,Core II,Lecture,,N 613 Week 2 &4 : APL III BI(SH) S 614
MONDAY,10:48 AM,9.4,BDE,SA,LY,DA-I,Lecture,,N 605
MONDAY,9:36 AM,10.35,DL,AJ,LY,DA-I,Lecture,,N 605
MONDAY,10:48 AM,9.4,FSDL,RB,LY,SMAD,Practical,,S 611
MONDAY,9:36 AM,2.35,BI,PS,LY,SMAD,Lecture,,N 601
TUESDAY,10:48 AM,9.4,JP,RAB,SY,DA,Lecture,1,S 611
TUESDAY,9:36 AM,2.35,DSA,PK,SY,DA,Lecture,1,N 605
TUESDAY,8:24 AM,3.3,COA,PB,SY,DA,Lecture,1,N 605
TUESDAY,10:48 AM,9.4,DBPL,JN,SY,DA,Practical,2,S 610
TUESDAY,10:48 AM,9.4,AA,AG,TY,Core,Lecture,1,N 607
TUESDAY,9:36 AM,10.35,NS,RHB,TY,Core,Lecture,1,N 607
TUESDAY,9:36 AM,10.35,FSD,RK,TY,Core,Lecture,1,S 601
TUESDAY,12:00 PM,11.45,FML,PB,TY,Core,Lecture,1,N 613
TUESDAY,10:48 AM,9.4,BI,SH,LY,Core-I,Lecture,,N 605
TUESDAY,9:36 AM,10.35,IS,PSD,LY,Core-I,Lecture,,N 605
TUESDAY,9:36 AM,2.35,ISL,NF,LY,Core II,Practical,,N 611
TUESDAY,9:36 AM,2.35,week1&3 :DA1: APL III BI,SH,LY,DA-I,Lecture,,S 614 Week 2 &4: DA 2: APL III BI(SH) S 614
TUESDAY,9:36 AM,4.3,NF)N 607,,LY,DA-I,Lecture,,
TUESDAY,10:48 AM,9.4,FSD,RB,LY,SMAD,Lecture,,S 611
WEDNESDAY,10:48 AM,9.4,JP,RAB,SY,DA,Lecture,2,S 609
